Destination,Number of Travelers,Number of Days,Package Type,Season,Estimated Cost
Auli,4,2,Standard,Monsoon,21958.03
Jaisalmer,7,8,Luxury,Spring,169836.31
Tawang,7,7,Budget,Spring,72065.71
Srinagar,2,10,Budget,Winter,50078.09
Srinagar,7,13,Luxury,Autumn,326259.35
Varanasi,7,13,Luxury,Spring,146214.96
Pelling,6,13,Budget,Summer,117535.79
Tawang,5,4,Standard,Winter,47132.8
South Goa,6,14,Budget,Winter,222153.38
Nainital,5,6,Standard,Spring,62655.47
Shillong,8,1,Budget,Autumn,10198.47
Leh,8,8,Luxury,Winter,422989.69
Khajuraho,2,12,Luxury,Spring,85353.14
South Goa,5,1,Luxury,Monsoon,20098.8
South Goa,2,8,Luxury,Spring,93244.39
Pune,4,13,Luxury,Winter,162097.6
Dalhousie,2,13,Standard,Winter,61863.33
Hampi,1,3,Luxury,Spring,8459.78
Rann of Kutch,8,13,Budget,Autumn,275238.2
Mysore,5,10,Budget,Monsoon,50378.93
Khajuraho,6,7,Budget,Spring,58937.98
Kalimpong,7,13,Budget,Monsoon,64829.6
Auli,3,11,Budget,Spring,90788.12
Haridwar,1,13,Luxury,Spring,25155.71
Varkala,2,3,Luxury,Autumn,13789.57
Tirupati,4,3,Budget,Spring,18647.13
Lucknow,7,9,Budget,Autumn,77139.84
Mahabalipuram,7,10,Standard,Winter,121116.88
Rann of Kutch,7,2,Budget,Winter,44418.97
Shillong,1,12,Budget,Autumn,24945.26
Gwalior,2,10,Budget,Autumn,25683.62
Bengaluru,3,6,Budget,Summer,47218.37
Pondicherry,5,9,Standard,Spring,89008.69
Lonavala,5,3,Standard,Monsoon,21494.18
Kolkata,5,13,Standard,Spring,115527.1
Shillong,4,4,Budget,Summer,27673.32
Tawang,7,9,Budget,Summer,111828.62
Gangtok,6,1,Budget,Winter,11571.63
Mysore,3,3,Budget,Winter,14259.59
Alleppey,1,9,Standard,Summer,35389.72
Jodhpur,1,7,Luxury,Spring,32499.05
Gir National Park,6,8,Budget,Winter,137803.92
Shillong,2,12,Budget,Summer,47072.74
Puri,6,11,Luxury,Summer,150101.39
Pune,6,13,Luxury,Autumn,193287.8
Shimla,3,2,Budget,Summer,12046.38
Manali,8,7,Budget,Summer,87966.62
Pushkar,3,1,Budget,Winter,2990.25
Gwalior,5,1,Budget,Winter,6918.02
Srinagar,8,5,Luxury,Spring,140014.68
Kumarakom,2,5,Standard,Monsoon,32030.07
Jaisalmer,6,5,Budget,Summer,54129.92
Tawang,1,1,Standard,Spring,3030.87
Havelock Island,2,7,Standard,Winter,89588.49
Thekkady,1,12,Standard,Spring,35934.07
Manali,6,14,Luxury,Summer,297664.55
Lucknow,5,5,Standard,Winter,55166.22
Rann of Kutch,7,3,Standard,Spring,74330.3
Mahabaleshwar,3,11,Luxury,Winter,130724.59
Varkala,6,9,Budget,Spring,48813.91
Manali,4,13,Standard,Summer,113492.45
Gir National Park,4,1,Budget,Winter,11308.68
Madurai,3,11,Luxury,Summer,76135.41
Lucknow,8,7,Luxury,Monsoon,112821.18
Leh,1,8,Luxury,Monsoon,55261.32
Gwalior,8,13,Standard,Autumn,141483.46
Majuli,5,6,Standard,Summer,37200.59
Manali,4,9,Standard,Winter,81036.19
Gwalior,2,9,Budget,Summer,28045.16
Gangtok,3,14,Luxury,Autumn,158268.46
Varkala,6,8,Standard,Winter,68048.32
Mumbai,6,7,Standard,Autumn,141120.61
Lucknow,3,14,Luxury,Spring,121266.96
Pushkar,6,10,Luxury,Monsoon,75555.06
Mumbai,7,10,Budget,Summer,198836.61
Rameswaram,1,9,Budget,Spring,9684.22
Pushkar,7,4,Standard,Winter,32146.61
Dalhousie,1,8,Luxury,Winter,37727.53
Orchha,3,2,Luxury,Autumn,12321.54
Araku Valley,1,5,Budget,Autumn,6662.16
Rann of Kutch,6,14,Standard,Summer,365999.17
Pahalgam,7,3,Budget,Spring,30859.47
Shimla,1,6,Standard,Monsoon,14441.82
Tawang,2,9,Luxury,Monsoon,53449.77
Rameswaram,6,5,Standard,Spring,30326.02
Ranthambore,1,4,Budget,Spring,15077.92
Puri,5,6,Standard,Monsoon,29693.07
Pahalgam,6,1,Standard,Winter,14975.14
Gulmarg,8,13,Standard,Spring,405475.14
Konark,1,5,Budget,Summer,9756.78
Coorg,7,14,Budget,Autumn,138739.96
Tawang,4,12,Standard,Autumn,97529.95
Coorg,8,1,Standard,Spring,14025.03
Puri,8,13,Luxury,Summer,228067.32
Coorg,5,5,Budget,Monsoon,29775.12
Orchha,4,14,Budget,Autumn,52774.5
Havelock Island,8,7,Standard,Monsoon,185002.64
Gokarna,7,1,Luxury,Summer,13914.39
Bhubaneswar,5,14,Luxury,Monsoon,124890.32
Araku Valley,3,6,Luxury,Monsoon,29880.69
Udaipur,1,13,Standard,Monsoon,49520.27
Mysore,6,13,Budget,Summer,114499.18
South Goa,4,14,Standard,Winter,207062.48
Nainital,3,5,Standard,Summer,38346.63
Alleppey,5,4,Luxury,Autumn,70321.89
Dalhousie,5,5,Luxury,Spring,71349.39
Mysore,2,4,Luxury,Monsoon,20043.62
Tirupati,3,4,Standard,Winter,30933.76
Lucknow,6,10,Luxury,Spring,157823.16
Auli,6,8,Standard,Summer,195332.54
Madurai,4,12,Budget,Autumn,38151.77
Havelock Island,1,10,Luxury,Winter,123233.96
Mysore,7,6,Budget,Summer,57742.18
Ziro,7,6,Luxury,Autumn,71051.44
Gir National Park,1,4,Budget,Winter,17041.4
Chennai,7,3,Budget,Winter,29025.93
Hampi,1,11,Luxury,Monsoon,25662.39
Kochi,8,6,Budget,Spring,59441.19
Kovalam,7,13,Luxury,Winter,447867.34
Mumbai,5,2,Budget,Summer,30996.56
Majuli,1,8,Luxury,Summer,22964.18
Auli,7,14,Luxury,Monsoon,398626.4
Mahabaleshwar,1,13,Budget,Autumn,27916.37
Mahabaleshwar,3,8,Standard,Summer,58834.43
Bhubaneswar,4,6,Budget,Winter,30037.13
Gokarna,7,3,Budget,Autumn,16235.55
Nainital,3,10,Standard,Winter,76278.36
Kalimpong,8,12,Standard,Autumn,110639.96
Kolkata,7,8,Luxury,Autumn,143247.47
Havelock Island,1,6,Luxury,Autumn,63024.6
Dalhousie,3,2,Standard,Monsoon,8614.63
Jodhpur,4,4,Budget,Autumn,21911.93
Dharamshala,7,10,Budget,Autumn,59655.85
Ranthambore,3,13,Budget,Spring,108381.24
Tirupati,3,4,Standard,Winter,31845.96
Kolkata,7,7,Budget,Autumn,62956.56
Kumarakom,3,12,Standard,Spring,126271.52
Khajuraho,2,1,Standard,Monsoon,3592.19
Jaipur,8,9,Standard,Autumn,144432.87
Pachmarhi,1,7,Standard,Monsoon,10966.03
Pune,2,13,Luxury,Autumn,79516.74
Rann of Kutch,2,6,Budget,Winter,45971.23
Jaisalmer,1,5,Standard,Winter,18198.67
Gwalior,7,9,Standard,Monsoon,73590.23
Kumarakom,2,7,Budget,Summer,51983.06
Orchha,4,5,Standard,Winter,28078.29
Darjeeling,1,11,Luxury,Autumn,51755.0
Mysore,2,3,Budget,Autumn,8601.12
Mysore,3,1,Luxury,Monsoon,6921.63
Darjeeling,7,2,Luxury,Autumn,41683.86
Mount Abu,3,3,Luxury,Summer,32865.56
Tawang,5,11,Luxury,Winter,219630.56
Port Blair,8,9,Budget,Summer,148266.16
Majuli,8,11,Standard,Summer,100401.35
Rameswaram,6,3,Standard,Winter,21357.01
Haridwar,5,3,Luxury,Monsoon,16198.16
Haridwar,8,14,Luxury,Autumn,139630.5
Araku Valley,1,8,Standard,Summer,17748.23
Orchha,8,10,Luxury,Summer,176354.99
Lucknow,5,10,Standard,Winter,103460.83
Dharamshala,3,9,Standard,Monsoon,28305.88
Ooty,2,3,Luxury,Winter,26500.42
Khajuraho,4,3,Budget,Winter,20941.65
Pahalgam,3,5,Standard,Spring,33880.35
Leh,6,13,Budget,Autumn,215863.43
South Goa,2,13,Standard,Winter,113922.58
Ooty,4,14,Budget,Summer,95345.57
Tawang,4,5,Budget,Spring,29353.29
Manali,6,1,Budget,Monsoon,6483.64
Kanyakumari,8,14,Standard,Winter,148163.48
Pachmarhi,5,1,Standard,Summer,8271.01
Udaipur,1,1,Luxury,Winter,9096.46
Araku Valley,8,7,Luxury,Monsoon,81933.24
Tawang,2,13,Budget,Spring,46660.36
Ziro,5,6,Luxury,Autumn,53051.0
Gir National Park,2,11,Budget,Winter,76744.52
Darjeeling,1,7,Budget,Monsoon,12728.06
Mount Abu,1,10,Budget,Monsoon,16043.2
Tawang,8,1,Luxury,Monsoon,18980.83
Auli,5,8,Luxury,Summer,277119.39
Rishikesh,8,9,Luxury,Monsoon,89503.28
Pune,3,9,Budget,Winter,43012.52
Kodaikanal,5,9,Luxury,Monsoon,105533.24
Gokarna,3,8,Budget,Winter,25623.33
Wayanad,4,13,Budget,Autumn,65863.67
Kodaikanal,8,13,Standard,Autumn,169511.63
Kodaikanal,8,2,Luxury,Autumn,42317.85
South Goa,8,6,Luxury,Spring,219544.48
Kumarakom,4,10,Luxury,Monsoon,174553.14
Gokarna,7,12,Budget,Monsoon,51796.85
Lonavala,2,7,Standard,Monsoon,23555.08
Kumarakom,7,14,Luxury,Winter,609859.18
Haridwar,2,7,Budget,Monsoon,8128.58
Jaisalmer,7,8,Standard,Spring,107155.57
Pondicherry,1,10,Standard,Spring,27624.56
Kaziranga,5,14,Budget,Spring,167090.4
Visakhapatnam,8,11,Budget,Spring,101836.54
Varanasi,2,1,Standard,Summer,3035.96
Varkala,4,13,Luxury,Autumn,104951.19
Rishikesh,6,1,Luxury,Monsoon,7662.64
Leh,3,1,Budget,Summer,10623.21
Ooty,5,7,Budget,Monsoon,42083.51
Gwalior,1,3,Standard,Spring,6772.99
Gangtok,5,12,Budget,Autumn,98325.84
Pelling,3,5,Luxury,Summer,54553.1
Shillong,6,12,Luxury,Winter,251588.86
Udaipur,8,12,Luxury,Spring,474105.73
Munnar,1,9,Budget,Autumn,20185.74
Thekkady,7,4,Luxury,Autumn,84349.48
Puri,5,12,Standard,Monsoon,60284.5
Pondicherry,6,1,Budget,Summer,9809.6
Kaziranga,6,6,Budget,Autumn,78645.45
Puri,1,13,Budget,Winter,21887.8
Puri,6,2,Luxury,Monsoon,18721.68
Chennai,3,8,Standard,Monsoon,34079.54
Chennai,4,1,Budget,Spring,4911.02
North Goa,4,2,Budget,Winter,17616.11
South Goa,5,9,Standard,Summer,168497.29
Bhubaneswar,7,6,Standard,Winter,66193.36
Udaipur,2,2,Luxury,Spring,24711.42
Kolkata,6,11,Budget,Summer,101315.64
North Goa,2,9,Standard,Spring,49815.9
Dharamshala,4,11,Standard,Winter,65549.24
Varanasi,7,10,Luxury,Summer,137626.46
Haridwar,4,7,Budget,Summer,19916.18
Kanyakumari,2,3,Luxury,Spring,13981.92
Kumarakom,8,7,Luxury,Spring,282101.41
Araku Valley,3,2,Standard,Autumn,7741.35
Coorg,5,13,Standard,Summer,154605.33
Dharamshala,1,12,Standard,Autumn,22003.0
Mount Abu,4,5,Standard,Spring,35712.96
Kaziranga,2,8,Budget,Monsoon,33480.48
Bhubaneswar,4,2,Standard,Winter,13478.85
Shillong,5,6,Luxury,Autumn,96425.09
Orchha,4,8,Standard,Winter,46537.67
Rameswaram,6,14,Standard,Autumn,83957.07
Tawang,4,6,Budget,Summer,44765.9
Gulmarg,6,7,Budget,Monsoon,99038.12
Coorg,5,5,Luxury,Summer,91020.11
Kodaikanal,8,12,Budget,Monsoon,93318.41
Gir National Park,2,13,Standard,Summer,122193.49
Srinagar,4,5,Luxury,Spring,74332.36
Mumbai,3,9,Budget,Autumn,75023.19
Bengaluru,1,1,Luxury,Spring,6333.89
Gulmarg,7,9,Budget,Spring,182411.27
Orchha,1,13,Luxury,Monsoon,30390.88
Tirupati,1,1,Luxury,Spring,4792.25
Mount Abu,2,5,Luxury,Monsoon,26660.08
Gangtok,2,11,Luxury,Spring,90833.1
Gokarna,7,4,Standard,Autumn,28377.97
Srinagar,8,7,Budget,Autumn,92803.72
Alleppey,1,2,Luxury,Winter,12262.73
Jaisalmer,8,10,Luxury,Summer,287845.66
Havelock Island,6,9,Budget,Summer,213290.33
Kumarakom,1,5,Standard,Spring,24428.5
Bhubaneswar,8,2,Standard,Summer,23839.44
Lonavala,3,9,Standard,Autumn,51692.29
Leh,3,6,Standard,Winter,88377.08
Rann of Kutch,8,1,Standard,Summer,33419.36
Udaipur,4,1,Standard,Autumn,13186.76
South Goa,8,1,Budget,Monsoon,12917.62
Rameswaram,2,6,Luxury,Monsoon,18598.29
Bhubaneswar,1,14,Luxury,Autumn,43860.09
Orchha,8,8,Standard,Spring,69999.02
Bengaluru,4,12,Luxury,Monsoon,160428.96
Wayanad,6,7,Standard,Winter,84301.42
Agra,3,7,Luxury,Autumn,76611.84
Udaipur,4,9,Luxury,Monsoon,147047.87
Visakhapatnam,4,5,Standard,Monsoon,26848.44
Pune,3,12,Standard,Spring,62451.59
Leh,1,10,Standard,Monsoon,45371.64
Dharamshala,2,12,Luxury,Autumn,54653.2
Mahabalipuram,2,13,Standard,Summer,53928.52
Rameswaram,5,8,Standard,Monsoon,35310.94
Orchha,7,9,Standard,Winter,88202.68
Mahabalipuram,8,8,Budget,Winter,77842.08
Khajuraho,4,3,Luxury,Winter,42623.91
Pushkar,4,3,Standard,Summer,14246.96
Kovalam,4,3,Standard,Summer,38685.35
Agra,6,1,Budget,Monsoon,7338.8
Nainital,6,9,Budget,Autumn,81761.68
Pelling,1,14,Standard,Monsoon,28936.48
Mahabalipuram,5,6,Luxury,Summer,90341.36
Rann of Kutch,8,7,Standard,Monsoon,148920.83
North Goa,5,7,Standard,Spring,87543.44
Mysore,1,3,Budget,Monsoon,4420.39
Auli,4,1,Standard,Spring,13081.09
Manali,3,12,Budget,Winter,65070.66
Shillong,6,3,Standard,Winter,40911.07
Rameswaram,6,2,Budget,Monsoon,7162.49
Dalhousie,4,6,Standard,Spring,41898.74
Tirupati,5,13,Luxury,Summer,260366.85
Mahabaleshwar,7,9,Budget,Spring,83026.22
Dalhousie,3,4,Standard,Autumn,21668.55
Mahabaleshwar,4,5,Standard,Winter,46076.07
Havelock Island,8,7,Budget,Autumn,172344.0
Jaipur,1,4,Luxury,Winter,24862.26
Bhubaneswar,5,9,Standard,Monsoon,50460.51
Kolkata,6,4,Luxury,Winter,77298.77
Visakhapatnam,7,2,Standard,Monsoon,18131.51
Kaziranga,4,5,Standard,Spring,62453.52
Kovalam,6,10,Standard,Autumn,162941.04
Mahabaleshwar,6,14,Luxury,Spring,249423.52
Jaipur,7,9,Budget,Monsoon,78594.38
Mount Abu,8,2,Standard,Summer,30639.36
Bhubaneswar,5,9,Standard,Summer,75562.16
Darjeeling,5,14,Luxury,Monsoon,191237.42
Chennai,1,6,Budget,Autumn,10786.93
Visakhapatnam,7,9,Budget,Spring,74340.24
Haridwar,5,12,Luxury,Spring,79125.04
Shimla,3,13,Standard,Winter,102663.29
Kaziranga,3,7,Luxury,Monsoon,86342.29
Gulmarg,3,14,Standard,Autumn,185828.7
Lonavala,7,8,Budget,Monsoon,55363.51
Dharamshala,1,12,Luxury,Summer,42180.72
Varkala,4,13,Standard,Winter,73743.37
Dharamshala,4,11,Standard,Autumn,53219.68
Manali,7,14,Standard,Monsoon,144985.11
Agra,7,10,Standard,Autumn,133963.11
Konark,5,13,Standard,Winter,117250.48
Kanyakumari,1,4,Luxury,Summer,13965.79
Kaziranga,7,11,Budget,Spring,164767.34
Visakhapatnam,4,2,Standard,Monsoon,10701.03
Varkala,6,13,Standard,Autumn,94145.59
Chennai,2,1,Budget,Summer,3405.5
Nainital,2,2,Budget,Spring,7156.35
Cherrapunji,8,6,Budget,Summer,82967.46
Kaziranga,8,7,Budget,Monsoon,93357.8
Havelock Island,7,9,Luxury,Summer,504673.58
Kochi,3,8,Budget,Autumn,32649.37
Lonavala,4,14,Luxury,Spring,157832.23
Udaipur,7,3,Luxury,Spring,101447.44
Manali,6,14,Standard,Spring,151222.21
Dalhousie,1,8,Budget,Winter,17689.9
Chennai,2,9,Luxury,Winter,65186.74
Nainital,4,5,Luxury,Winter,77356.32
Jodhpur,2,12,Luxury,Winter,106933.59
Udaipur,8,1,Standard,Summer,28198.19
Varanasi,6,4,Budget,Spring,18444.92
North Goa,6,3,Budget,Autumn,32042.1
Ooty,4,1,Budget,Winter,6724.65
Agra,6,13,Budget,Spring,116656.02
Varanasi,1,11,Standard,Spring,17471.71
Pune,2,13,Standard,Autumn,49318.86
Thekkady,7,3,Budget,Monsoon,24432.86
Bengaluru,1,13,Luxury,Monsoon,67893.8
Dalhousie,2,10,Budget,Spring,30123.02
Manali,1,3,Luxury,Winter,15710.76
Agra,7,14,Luxury,Monsoon,247135.57
Bhubaneswar,8,9,Budget,Summer,80782.89
Shillong,4,6,Budget,Summer,40835.99
Hampi,1,5,Luxury,Monsoon,11495.56
Shillong,7,4,Budget,Spring,38723.83
Mount Abu,8,10,Standard,Monsoon,104819.34
Darjeeling,7,8,Budget,Winter,95498.95
Gokarna,4,14,Budget,Autumn,45524.31
Leh,6,13,Luxury,Autumn,449951.1
Shillong,4,7,Standard,Winter,65543.9
Kaziranga,3,12,Budget,Monsoon,73507.44
Varanasi,5,8,Standard,Winter,54779.1
Puri,8,3,Budget,Spring,20526.22
Kalimpong,7,1,Budget,Winter,7205.05
Alleppey,1,11,Standard,Autumn,35079.44
South Goa,6,1,Luxury,Monsoon,23431.72
Jodhpur,1,5,Budget,Winter,12820.68
Thekkady,5,3,Luxury,Summer,62520.58
Araku Valley,3,1,Budget,Monsoon,2455.55
Ranthambore,3,10,Standard,Winter,133355.9
Gir National Park,4,5,Standard,Winter,76931.54
Leh,7,14,Luxury,Winter,666609.3
Araku Valley,6,9,Standard,Spring,64989.17
Kaziranga,7,9,Budget,Spring,134079.33
Jaipur,2,8,Standard,Winter,48214.57
Araku Valley,1,12,Budget,Spring,15414.55
Dharamshala,7,6,Luxury,Winter,94961.84
North Goa,3,8,Luxury,Autumn,98344.06
Jaipur,5,9,Standard,Autumn,99582.31
Tirupati,7,3,Standard,Autumn,39420.14
Haridwar,5,9,Budget,Summer,35663.02
Thekkady,4,5,Luxury,Winter,78170.41
South Goa,8,1,Budget,Autumn,16675.71
Mumbai,3,10,Budget,Summer,97361.37
Araku Valley,1,2,Standard,Autumn,3606.2
Manali,6,2,Budget,Winter,20818.29
Kodaikanal,4,6,Luxury,Winter,80448.4
Puri,7,3,Budget,Autumn,18049.04
Udaipur,8,8,Budget,Spring,141254.41
Jaipur,5,11,Budget,Winter,111694.37
Bhubaneswar,8,9,Standard,Monsoon,74286.78
Havelock Island,1,12,Standard,Spring,77191.29
Lucknow,3,9,Standard,Monsoon,40556.47
Ranthambore,3,5,Luxury,Spring,84777.85
Chennai,5,4,Budget,Summer,30361.35
Alleppey,8,14,Standard,Winter,279658.65
Gulmarg,8,7,Luxury,Autumn,323699.77
Pahalgam,2,11,Luxury,Summer,100511.41
Dalhousie,8,5,Luxury,Autumn,100179.32
Leh,6,14,Standard,Monsoon,247343.82
Munnar,8,7,Budget,Autumn,79129.95
Agra,5,14,Standard,Spring,144465.95
Tirupati,3,9,Budget,Spring,44873.92
Pachmarhi,2,4,Standard,Autumn,12923.85
Shimla,4,3,Budget,Monsoon,14511.35
Bhubaneswar,4,12,Budget,Autumn,49316.13
Mahabaleshwar,8,10,Budget,Spring,103809.38
Tawang,5,1,Luxury,Spring,16883.73
Shillong,1,11,Luxury,Summer,59634.49
Tirupati,3,12,Standard,Monsoon,62214.83
Jodhpur,2,2,Luxury,Spring,14429.0
Alleppey,6,7,Budget,Spring,67988.52
Ziro,4,3,Standard,Summer,15404.29
Alleppey,7,6,Luxury,Autumn,139660.85
Jaisalmer,1,7,Luxury,Spring,33720.68
Shimla,3,11,Luxury,Monsoon,92681.49
Gokarna,4,14,Budget,Monsoon,35580.73
Ranthambore,7,14,Standard,Monsoon,249301.95
Jaipur,6,10,Luxury,Summer,245315.01
Kochi,2,3,Luxury,Summer,24442.37
Ranthambore,6,4,Standard,Autumn,83290.96
Majuli,8,4,Budget,Summer,26989.51
Jaipur,5,11,Luxury,Summer,235109.69
Cherrapunji,6,14,Budget,Spring,125100.1
Chennai,7,8,Luxury,Autumn,140436.31
Tawang,8,1,Standard,Spring,15021.02
Tirupati,5,4,Luxury,Spring,68761.56
South Goa,5,5,Budget,Autumn,57739.0
Ranthambore,4,10,Budget,Autumn,101027.38
Kochi,4,6,Budget,Autumn,32475.51
Mumbai,6,4,Budget,Monsoon,49064.69
Bhubaneswar,2,8,Luxury,Summer,51404.03
Shimla,1,6,Standard,Summer,21646.24
Majuli,6,12,Standard,Monsoon,57105.44
Konark,5,9,Budget,Summer,61506.27
Kodaikanal,3,14,Budget,Spring,60159.03
Kovalam,1,14,Standard,Monsoon,43494.03
Mount Abu,1,12,Standard,Autumn,30294.76
Darjeeling,1,14,Budget,Autumn,31300.45
Kovalam,1,9,Budget,Monsoon,21684.4
Ooty,8,13,Luxury,Monsoon,237584.07
Rishikesh,7,13,Standard,Autumn,85332.14
Havelock Island,5,8,Budget,Autumn,131427.68
Haridwar,8,13,Budget,Autumn,59304.8
Munnar,6,7,Budget,Summer,76234.53
Alleppey,2,4,Standard,Winter,25105.06
Mysore,5,2,Luxury,Spring,27198.45
Kodaikanal,1,4,Budget,Spring,7764.92
Ooty,7,2,Budget,Summer,22385.16
Gir National Park,3,2,Luxury,Autumn,33931.71
Mumbai,4,3,Standard,Monsoon,32891.79
Gulmarg,6,13,Luxury,Winter,598641.88
Coorg,1,11,Luxury,Autumn,49074.88
Tawang,7,1,Luxury,Summer,26363.47
Mumbai,6,5,Luxury,Winter,196943.33
Mysore,5,3,Luxury,Summer,49352.24
Kaziranga,2,12,Luxury,Monsoon,109108.7
Mumbai,7,12,Budget,Monsoon,156052.47
Pelling,4,6,Budget,Winter,37303.84
Gangtok,5,12,Luxury,Spring,214375.67
Gir National Park,2,12,Luxury,Monsoon,118980.65
Rishikesh,1,1,Standard,Autumn,1536.66
Gangtok,6,12,Budget,Spring,115456.14
Thekkady,6,5,Luxury,Monsoon,76643.13
Gwalior,6,14,Luxury,Monsoon,158986.77
Kochi,6,2,Luxury,Autumn,32079.4
Bengaluru,4,10,Budget,Monsoon,64339.94
Shimla,2,4,Budget,Summer,17349.78
Jaisalmer,8,13,Standard,Spring,191966.12
Tirupati,1,5,Budget,Autumn,11603.88
Kochi,2,3,Standard,Autumn,12542.51
Kochi,1,10,Budget,Spring,19747.61
Visakhapatnam,1,3,Luxury,Autumn,11877.91
Auli,3,2,Luxury,Autumn,35975.08
Ranthambore,7,5,Budget,Spring,87679.71
Manali,5,1,Standard,Monsoon,7880.45
Rishikesh,5,6,Luxury,Spring,49372.28
Agra,3,6,Luxury,Spring,63564.47
Chennai,2,14,Standard,Summer,64002.62
Ranthambore,8,10,Standard,Winter,319527.88
Tawang,7,8,Luxury,Monsoon,134799.32
Rann of Kutch,3,9,Standard,Summer,133800.52
Leh,5,7,Luxury,Summer,256976.76
Havelock Island,5,4,Budget,Summer,82872.25
Majuli,8,7,Standard,Autumn,49412.59
Madurai,6,3,Standard,Winter,23697.07
Bhubaneswar,8,9,Luxury,Summer,177321.22
Alleppey,3,3,Standard,Winter,25072.51
Dharamshala,1,3,Budget,Autumn,4119.39
Srinagar,5,5,Budget,Spring,47029.81
Mysore,2,3,Luxury,Summer,22431.73
Hampi,6,14,Standard,Monsoon,79361.99
Kaziranga,5,13,Standard,Autumn,203488.9
Majuli,3,3,Standard,Winter,11880.29
Jodhpur,4,6,Standard,Winter,53542.48
Auli,7,8,Luxury,Spring,286392.34
Kalimpong,6,11,Budget,Autumn,60620.91
Ooty,1,1,Budget,Autumn,2162.21
Lonavala,7,1,Luxury,Winter,22248.98
Nainital,8,4,Standard,Spring,58493.35
Thekkady,6,12,Budget,Spring,112792.48
Cherrapunji,8,7,Standard,Spring,101149.98
Rann of Kutch,4,9,Budget,Summer,120217.44
Orchha,8,2,Standard,Summer,21229.15
Rishikesh,1,9,Luxury,Monsoon,17669.0
Mussoorie,2,11,Standard,Monsoon,42958.84
Gangtok,3,12,Budget,Summer,75823.11
Shillong,2,7,Budget,Summer,27748.48
Agra,5,11,Budget,Summer,104803.38
Khajuraho,3,12,Budget,Spring,54269.79
Agra,3,4,Luxury,Spring,43134.21
Bengaluru,1,10,Budget,Spring,29956.18
Pushkar,3,14,Budget,Spring,35420.42
Pondicherry,5,9,Standard,Autumn,88776.38
Jodhpur,1,9,Standard,Monsoon,20281.15
Darjeeling,6,8,Budget,Spring,73398.16
