attraction_name,destination_name,category,description,entry_fee,opening_time,closing_time,average_visit_time,image
Leh Palace,Leh,Heritage,A 17th-century former royal palace overlooking the town.,200.0,08:00:00,17:00:00,90,attractions/leh_palace.jpg
Shanti Stupa,Leh,Spiritual,A white-domed Buddhist stupa offering panoramic views.,0.0,05:00:00,21:00:00,60,attractions/shanti_stupa.jpg
Magnetic Hill,Leh,Adventure,A cyclops hill where gravity-defying phenomena occur.,0.0,00:00:00,23:59:59,45,attractions/magnetic_hill.jpg
Thiksey Monastery,Leh,Spiritual,A twelve-story Tibetan Buddhist monastery resembling Lhasa.,50.0,07:00:00,19:00:00,120,attractions/thiksey_monastery.jpg
Pangong Tso Lake,Leh,Nature,A breathtaking endorheic lake extending from India to China.,0.0,00:00:00,23:59:59,240,attractions/pangong_tso_lake.jpg
Hall of Fame Museum,Leh,Heritage,A museum built by the Indian Army in memory of martyrs.,100.0,09:00:00,19:00:00,90,attractions/hall_of_fame_museum.jpg
Hadimba Temple,Manali,Spiritual,An ancient wooden temple built around a natural cave.,0.0,08:00:00,18:00:00,60,attractions/hadimba_temple.jpg
Solang Valley,Manali,Adventure,Famous for adventure sports like paragliding and zorbing.,0.0,09:00:00,18:00:00,180,attractions/solang_valley.jpg
Jogini Waterfalls,Manali,Nature,A scenic waterfall reachable by a short hillside trek.,0.0,08:00:00,17:00:00,120,attractions/jogini_waterfalls.jpg
Vashisht Hot Water Springs,Manali,Spiritual,Natural sulfur hot water springs known for healing properties.,0.0,07:00:00,21:00:00,45,attractions/vashisht_hot_water_springs.jpg
Mall Road Manali,Manali,City,"A bustling street full of shops, eateries, and local markets.",0.0,10:00:00,22:00:00,90,attractions/mall_road_manali.jpg
Atal Tunnel,Manali,Adventure,"The longest highway single-tube tunnel above 10,000 feet.",0.0,00:00:00,23:59:59,60,attractions/atal_tunnel.jpg
The Ridge Shimla,Shimla,City,"A large open space in the heart of Shimla, offering mountain views.",0.0,00:00:00,23:59:59,90,attractions/the_ridge_shimla.jpg
Jakhoo Temple,Shimla,Spiritual,An ancient temple dedicated to Hanuman with a giant statue.,0.0,07:00:00,20:00:00,90,attractions/jakhoo_temple.jpg
Kalka Shimla Toy Train,Shimla,Heritage,A UNESCO World Heritage narrow-gauge railway journey.,300.0,06:00:00,18:00:00,300,attractions/kalka_shimla_toy_train.jpg
Mall Road Shimla,Shimla,City,Pedestrian-only avenue packed with heritage buildings and shops.,0.0,09:00:00,22:00:00,120,attractions/mall_road_shimla.jpg
Viceregal Lodge,Shimla,Heritage,Historical British imperial residence with gardens.,100.0,09:00:00,17:00:00,90,attractions/viceregal_lodge.jpg
Christ Church Shimla,Shimla,Heritage,"The second oldest church in North India, displaying neo-Gothic style.",0.0,08:00:00,18:00:00,45,attractions/christ_church_shimla.jpg
Tsuglagkhang Complex,Dharamshala,Spiritual,The official residence and temple complex of the Dalai Lama.,0.0,06:00:00,19:00:00,120,attractions/tsuglagkhang_complex.jpg
Bhagsunag Waterfall,Dharamshala,Nature,A scenic fresh waterfall located near Bhagsunath Temple.,0.0,07:00:00,18:00:00,90,attractions/bhagsunag_waterfall.jpg
HPCA Stadium Dharamshala,Dharamshala,Adventure,A picturesque international cricket stadium with snow mountains background.,30.0,09:00:00,18:00:00,60,attractions/hpca_stadium_dharamshala.jpg
Namgyal Monastery,Dharamshala,Spiritual,"The personal monastery of the Dalai Lama, founded in the 16th century.",0.0,06:00:00,20:00:00,90,attractions/namgyal_monastery.jpg
St. John in the Wilderness Church,Dharamshala,Heritage,An old Anglican church built in 1852 amidst deodar trees.,0.0,09:00:00,18:00:00,45,attractions/st._john_in_the_wilderness_church.jpg
Triund Hill,Dharamshala,Adventure,A popular trekking spot offering panoramic views of the Dhauladhars.,0.0,00:00:00,23:59:59,240,attractions/triund_hill.jpg
Khajjiar Lake,Dalhousie,Nature,"Often called the Switzerland of India, surrounded by cedar forests.",0.0,08:00:00,18:00:00,120,attractions/khajjiar_lake.jpg
Panchpula,Dalhousie,Nature,A scenic picnic spot featuring waterfalls and streams.,0.0,09:00:00,19:00:00,90,attractions/panchpula.jpg
Dainkund Peak,Dalhousie,Nature,"The highest peak in Dalhousie, offering panoramic valley views.",0.0,08:00:00,17:00:00,120,attractions/dainkund_peak.jpg
St. John's Church Dalhousie,Dalhousie,Heritage,"The oldest church in the town, embodying Protestant structure.",0.0,07:00:00,19:00:00,45,attractions/st._john's_church_dalhousie.jpg
Satdhara Falls,Dalhousie,Nature,Mica-rich mineral springs known for medicinal virtues.,0.0,08:00:00,18:00:00,60,attractions/satdhara_falls.jpg
Kempty Falls,Mussoorie,Nature,A popular giant waterfall where tourists enjoy bathing.,50.0,08:00:00,17:00:00,120,attractions/kempty_falls.jpg
Gun Hill,Mussoorie,Nature,"The second highest point in Mussoorie, accessible by ropeway.",150.0,09:00:00,19:00:00,90,attractions/gun_hill.jpg
Lal Tibba Scenic Point,Mussoorie,Nature,The highest peak in Mussoorie offering telescope views of snow peaks.,50.0,08:00:00,19:00:00,60,attractions/lal_tibba_scenic_point.jpg
Company Garden Mussoorie,Mussoorie,Nature,A colorful municipal garden with a mini lake and amusement rides.,25.0,09:00:00,18:00:00,90,attractions/company_garden_mussoorie.jpg
Cloud's End,Mussoorie,Nature,A quiet resort forest marker marking the geographical end of Mussoorie.,50.0,08:00:00,18:00:00,120,attractions/cloud's_end.jpg
Naini Lake,Nainital,Nature,A crescent-shaped natural freshwater body famous for boating.,120.0,06:00:00,18:00:00,90,attractions/naini_lake.jpg
Naina Devi Temple,Nainital,Spiritual,A sacred Hindu temple situated on the northern shore of the lake.,0.0,06:00:00,22:00:00,60,attractions/naina_devi_temple.jpg
Naini Peak,Nainital,Nature,"Also known as China Peak, the highest mountain peak in Nainital.",0.0,08:00:00,17:00:00,180,attractions/naini_peak.jpg
Tiffin Top,Nainital,Nature,A terraced hilltop offering scenic mountain scenery views.,0.0,08:00:00,18:00:00,90,attractions/tiffin_top.jpg
G.B. Pant High Altitude Zoo,Nainital,Wildlife,One of the few high-altitude zoos in India.,100.0,10:00:00,16:30:00,120,attractions/g.b._pant_high_altitude_zoo.jpg
Laxman Jhula,Rishikesh,Heritage,A famous suspension bridge across the holy Ganges River.,0.0,00:00:00,23:59:59,45,attractions/laxman_jhula.jpg
Triveni Ghat,Rishikesh,Spiritual,A sacred bathing ghat known for the evening Ganga Aarti.,0.0,05:00:00,22:00:00,90,attractions/triveni_ghat.jpg
Neer Garh Waterfall,Rishikesh,Nature,A natural hiking trail leading to double fresh waterfalls.,30.0,08:00:00,18:00:00,120,attractions/neer_garh_waterfall.jpg
Parmarth Niketan Ashram,Rishikesh,Spiritual,"The largest ashram in Rishikesh, holding spiritual lectures.",0.0,06:00:00,21:00:00,90,attractions/parmarth_niketan_ashram.jpg
Jumpin Heights,Rishikesh,Adventure,India's highest bungee jumping zone run by experts.,3500.0,09:30:00,16:00:00,180,attractions/jumpin_heights.jpg
The Beatles Ashram,Rishikesh,Heritage,The ruins of Maharishi Mahesh Yogi ashram visited by The Beatles.,150.0,09:00:00,17:00:00,90,attractions/the_beatles_ashram.jpg
Har Ki Pauri,Haridwar,Spiritual,"The most famous ghat on the banks of the Ganges, holding Aarti.",0.0,00:00:00,23:59:59,90,attractions/har_ki_pauri.jpg
Mansa Devi Temple,Haridwar,Spiritual,A temple dedicated to Mansa Devi on Bilwa Parvat hill.,0.0,05:00:00,21:00:00,120,attractions/mansa_devi_temple.jpg
Chandi Devi Temple,Haridwar,Spiritual,A hilltop temple accessible by a steep trek or ropeway.,0.0,06:00:00,20:00:00,120,attractions/chandi_devi_temple.jpg
Bharat Mata Mandir,Haridwar,Spiritual,A unique multi-story temple dedicated to Mother India.,0.0,09:00:00,18:00:00,60,attractions/bharat_mata_mandir.jpg
Daksh Mahadev Temple,Haridwar,Spiritual,An ancient temple of Shiva located in Kankhal district.,0.0,06:00:00,21:00:00,60,attractions/daksh_mahadev_temple.jpg
Auli Ropeway,Auli,Adventure,A long cable car ride linking Joshimath and Auli skiing slopes.,1000.0,09:00:00,17:00:00,120,attractions/auli_ropeway.jpg
Auli Artificial Lake,Auli,Nature,A pristine artificial lake providing snowmaking system water.,0.0,08:00:00,18:00:00,60,attractions/auli_artificial_lake.jpg
Gorson Bugyal Trek,Auli,Adventure,A scenic meadow trek offering massive views of Nanda Devi.,0.0,07:00:00,16:00:00,180,attractions/gorson_bugyal_trek.jpg
Kwani Bugyal,Auli,Nature,A beautiful high altitude meadow situated at 3384 meters.,0.0,08:00:00,16:00:00,240,attractions/kwani_bugyal.jpg
Joshimath Temple Complex,Auli,Spiritual,A historic religious gateway town situated near Auli.,0.0,06:00:00,20:00:00,90,attractions/joshimath_temple_complex.jpg
Amer Fort,Jaipur,Heritage,A majestic hilltop fortress featuring Mughal and Rajput style elements.,200.0,08:00:00,17:30:00,120,attractions/amer_fort.jpg
Hawa Mahal,Jaipur,Heritage,"The Palace of Winds, a five-story pink sandstone structure.",50.0,09:00:00,17:00:00,60,attractions/hawa_mahal.jpg
City Palace Jaipur,Jaipur,Heritage,A royal palace complex hosting museums and royal courtyards.,300.0,09:30:00,17:00:00,120,attractions/city_palace_jaipur.jpg
Jantar Mantar Jaipur,Jaipur,Heritage,An astronomical observatory featuring the world's largest stone sundial.,50.0,09:00:00,16:30:00,90,attractions/jantar_mantar_jaipur.jpg
Nahargarh Fort,Jaipur,Heritage,Fort offering sweeping panoramic views of the city.,200.0,10:00:00,22:00:00,90,attractions/nahargarh_fort.jpg
Chokhi Dhani,Jaipur,Heritage,An ethnic mock village offering traditional Rajasthani food and dances.,900.0,17:00:00,23:00:00,180,attractions/chokhi_dhani.jpg
City Palace Udaipur,Udaipur,Heritage,"The largest palace complex in Rajasthan, situated on Lake Pichola.",250.0,09:00:00,17:30:00,120,attractions/city_palace_udaipur.jpg
Lake Pichola Boating,Udaipur,Nature,A scenic boat ride around the floating Jag Mandir and Lake Palace.,400.0,09:00:00,18:00:00,60,attractions/lake_pichola_boating.jpg
Sajjangarh Monsoon Palace,Udaipur,Heritage,A hilltop palace offering spectacular sunset views of Udaipur.,150.0,09:00:00,18:00:00,90,attractions/sajjangarh_monsoon_palace.jpg
Jagdish Temple,Udaipur,Spiritual,A large Indo-Aryan temple built in the middle of Udaipur town.,0.0,05:00:00,22:00:00,45,attractions/jagdish_temple.jpg
Saheliyon-ki-Bari,Udaipur,Heritage,"A historic garden featuring marble fountains, kiosks, and pools.",50.0,09:00:00,19:00:00,60,attractions/saheliyon_ki_bari.jpg
Bagore Ki Haveli,Udaipur,Heritage,An old mansion hosting an evening Rajasthani folk dance show.,100.0,09:00:00,20:00:00,90,attractions/bagore_ki_haveli.jpg
Mehrangarh Fort,Jodhpur,Heritage,"One of the largest forts in India, containing royal treasures.",200.0,09:00:00,17:00:00,120,attractions/mehrangarh_fort.jpg
Jaswant Thada,Jodhpur,Heritage,A beautiful white marble cenotaph built by the royal family.,50.0,09:00:00,17:00:00,45,attractions/jaswant_thada.jpg
Umaid Bhawan Palace Museum,Jodhpur,Heritage,"Part museum, part luxury hotel, one of the largest private residences.",100.0,09:00:00,17:00:00,90,attractions/umaid_bhawan_palace_museum.jpg
Mandore Gardens,Jodhpur,Heritage,Historical town gardens featuring Cenotaphs and temples.,0.0,08:00:00,20:00:00,90,attractions/mandore_gardens.jpg
Ghanta Ghar Clock Tower,Jodhpur,City,A historic marketplace clock tower surrounding Sardar Market.,0.0,09:00:00,21:00:00,60,attractions/ghanta_ghar_clock_tower.jpg
Jaisalmer Fort,Jaisalmer,Heritage,A living fort where a quarter of the city's population resides.,100.0,09:00:00,18:00:00,120,attractions/jaisalmer_fort.jpg
Patwon Ki Haveli,Jaisalmer,Heritage,A cluster of five historic Havelis showing intricate carvings.,100.0,09:00:00,18:00:00,90,attractions/patwon_ki_haveli.jpg
Sam Sand Dunes,Jaisalmer,Adventure,Sand dunes offering camel safaris and overnight desert camping.,500.0,15:00:00,23:00:00,240,attractions/sam_sand_dunes.jpg
Gadisar Lake,Jaisalmer,Nature,A rainwater conservation reservoir surrounded by temples.,0.0,08:00:00,20:00:00,60,attractions/gadisar_lake.jpg
Kuldhara Abandoned Village,Jaisalmer,Heritage,An old abandoned ghost village known for its mystery.,50.0,08:00:00,18:00:00,60,attractions/kuldhara_abandoned_village.jpg
Brahma Temple,Pushkar,Spiritual,One of the very few temples in the world dedicated to Lord Brahma.,0.0,06:00:00,21:00:00,45,attractions/brahma_temple.jpg
Pushkar Lake Ghats,Pushkar,Spiritual,Dozens of bathing ghats where pilgrims take holy dips.,0.0,00:00:00,23:59:59,60,attractions/pushkar_lake_ghats.jpg
Savitri Temple,Pushkar,Spiritual,A hilltop temple offering sunrise views over Pushkar.,0.0,05:00:00,19:00:00,90,attractions/savitri_temple.jpg
Varaha Temple,Pushkar,Spiritual,"The oldest temple in Pushkar, dedicated to Lord Vishnu.",0.0,06:00:00,20:00:00,45,attractions/varaha_temple.jpg
Pushkar Camel Fair Grounds,Pushkar,Heritage,The venue of the world-famous Pushkar camel festival.,0.0,09:00:00,21:00:00,120,attractions/pushkar_camel_fair_grounds.jpg
Ranthambore National Park Safari,Ranthambore,Wildlife,A jeep safari inside zones to spot Bengal tigers.,1200.0,06:00:00,18:00:00,210,attractions/ranthambore_national_park_safari.jpg
Ranthambore Fort,Ranthambore,Heritage,A UNESCO-listed fort located inside the national park territory.,0.0,06:00:00,18:00:00,120,attractions/ranthambore_fort.jpg
Trinetra Ganesha Temple,Ranthambore,Spiritual,A historic three-eyed Ganesha temple situated in the fort.,0.0,06:00:00,18:00:00,60,attractions/trinetra_ganesha_temple.jpg
Padam Talao Lake,Ranthambore,Nature,"The largest lake in the park, famous for water lily blooms.",0.0,06:00:00,18:00:00,45,attractions/padam_talao_lake.jpg
Kachida Valley,Ranthambore,Nature,A rocky outpost valley known for panther sightings.,0.0,06:00:00,18:00:00,90,attractions/kachida_valley.jpg
Dilwara Temples,Mount Abu,Spiritual,Famous Jain temples known for spectacular marble carvings.,0.0,12:00:00,17:00:00,90,attractions/dilwara_temples.jpg
Nakki Lake,Mount Abu,Nature,"A sacred lake situated in the hills, offering boating activities.",100.0,08:00:00,18:00:00,60,attractions/nakki_lake.jpg
Toad Rock,Mount Abu,Nature,"A large rock formation resembling a toad, offering views.",0.0,06:00:00,18:00:00,45,attractions/toad_rock.jpg
Guru Shikhar,Mount Abu,Nature,The highest peak in the Aravali Range.,0.0,08:00:00,18:00:00,90,attractions/guru_shikhar.jpg
Sunset Point Mount Abu,Mount Abu,Nature,Scenic sunset point overlooking green hills.,0.0,16:00:00,19:00:00,60,attractions/sunset_point_mount_abu.jpg
Taj Mahal,Agra,Heritage,The world-famous white marble mausoleum built by Shah Jahan.,50.0,06:00:00,18:30:00,180,attractions/taj_mahal.jpg
Agra Fort,Agra,Heritage,A massive red sandstone Mughal fort overlooking the Yamuna River.,50.0,06:00:00,18:00:00,120,attractions/agra_fort.jpg
Itimad-ud-Daulah Tomb,Agra,Heritage,"Often called the Baby Taj, an exquisite Mughal marble tomb.",30.0,06:00:00,18:00:00,60,attractions/itimad_ud_daulah_tomb.jpg
Mehtab Bagh,Agra,Heritage,A garden complex located opposite the Taj Mahal across the river.,30.0,06:00:00,18:00:00,90,attractions/mehtab_bagh.jpg
Fatehpur Sikri Palace,Agra,Heritage,The majestic ghost city built by Emperor Akbar.,50.0,06:00:00,18:00:00,150,attractions/fatehpur_sikri_palace.jpg
Kashi Vishwanath Temple,Varanasi,Spiritual,A sacred temple dedicated to Lord Shiva with golden spires.,0.0,03:00:00,23:00:00,120,attractions/kashi_vishwanath_temple.jpg
Dashashwamedh Ghat,Varanasi,Spiritual,"The main ghat in Varanasi, hosting the iconic evening Ganga Aarti.",0.0,00:00:00,23:59:59,90,attractions/dashashwamedh_ghat.jpg
Assi Ghat,Varanasi,Spiritual,Ghat located at the confluence of Ganges and Assi rivers.,0.0,00:00:00,23:59:59,60,attractions/assi_ghat.jpg
Sarnath Archaeological Site,Varanasi,Spiritual,The historical park where Lord Buddha first taught the Dharma.,50.0,08:00:00,18:00:00,120,attractions/sarnath_archaeological_site.jpg
Banaras Hindu University,Varanasi,Heritage,A massive green university campus hosting temples.,0.0,09:00:00,19:00:00,90,attractions/banaras_hindu_university.jpg
Ramnagar Fort,Varanasi,Heritage,A 18th-century sand-stone fort with museum near the river.,50.0,10:00:00,17:00:00,90,attractions/ramnagar_fort.jpg
Bara Imambara,Lucknow,Heritage,A monumental shrine housing a spectacular architectural labyrinth.,50.0,06:00:00,17:00:00,120,attractions/bara_imambara.jpg
Chhota Imambara,Lucknow,Heritage,An ornate congregation hall with chandeliers and gardens.,50.0,06:00:00,17:00:00,60,attractions/chhota_imambara.jpg
Rumi Darwaza,Lucknow,Heritage,An imposing historic gateway built by Nawab Asaf-ud-Daula.,0.0,00:00:00,23:59:59,30,attractions/rumi_darwaza.jpg
British Residency Lucknow,Lucknow,Heritage,"Ruins of colonial buildings, key in the 1857 Uprising.",25.0,07:00:00,18:00:00,90,attractions/british_residency_lucknow.jpg
Hazratganj Market,Lucknow,City,"The central shopping street of Lucknow, famous for Chikankari clothes.",0.0,10:00:00,22:00:00,120,attractions/hazratganj_market.jpg
Kandariya Mahadeva Temple,Khajuraho,Heritage,The largest and most ornate temple in the western group.,40.0,06:00:00,18:00:00,90,attractions/kandariya_mahadeva_temple.jpg
Lakshmana Temple,Khajuraho,Heritage,A well-preserved temple dedicated to Vaikuntha Vishnu.,40.0,06:00:00,18:00:00,60,attractions/lakshmana_temple.jpg
Duladeo Temple,Khajuraho,Heritage,"A late temple in the southern group, dedicated to Shiva.",0.0,06:00:00,18:00:00,45,attractions/duladeo_temple.jpg
Archaeological Museum Khajuraho,Khajuraho,Heritage,A museum housing sculptures recovered from site digs.,10.0,09:00:00,17:00:00,60,attractions/archaeological_museum_khajuraho.jpg
Raneh Falls,Khajuraho,Nature,A natural waterfall forming a deep canyon in crystalline rocks.,100.0,08:00:00,17:00:00,120,attractions/raneh_falls.jpg
Bee Falls,Pachmarhi,Nature,A popular waterfall supplying drinking water to the town.,15.0,09:00:00,17:00:00,90,attractions/bee_falls.jpg
Dhoopgarh Peak,Pachmarhi,Nature,"The highest point in Madhya Pradesh, offering sunsets.",0.0,06:00:00,19:00:00,120,attractions/dhoopgarh_peak.jpg
Pandav Caves,Pachmarhi,Heritage,Five rock-cut Buddhist temples where Pandavas allegedly stayed.,0.0,08:00:00,18:00:00,60,attractions/pandav_caves.jpg
Jata Shankar Caves,Pachmarhi,Spiritual,A natural cave shrine of Lord Shiva located in a ravine.,0.0,07:00:00,19:00:00,90,attractions/jata_shankar_caves.jpg
Handi Khoh,Pachmarhi,Nature,"A deep, forest-covered ravine with a 300-foot cliff.",0.0,09:00:00,17:00:00,45,attractions/handi_khoh.jpg
Orchha Fort Complex,Orchha,Heritage,A huge fort compound containing Raja Mahal and Jahangir Mahal.,50.0,09:00:00,17:00:00,120,attractions/orchha_fort_complex.jpg
Chaturbhuj Temple,Orchha,Spiritual,A colossal temple constructed on a massive stone platform.,0.0,06:00:00,20:00:00,90,attractions/chaturbhuj_temple.jpg
Orchha Chhatris,Orchha,Heritage,Fourteen majestic stone cenotaphs on the banks of Betwa River.,0.0,08:00:00,18:00:00,90,attractions/orchha_chhatris.jpg
Ram Raja Temple,Orchha,Spiritual,The only temple where Lord Ram is worshipped as a reigning King.,0.0,08:00:00,22:00:00,60,attractions/ram_raja_temple.jpg
Laxminarayan Temple Orchha,Orchha,Spiritual,A grand temple displaying a unique mix of fort and temple design.,0.0,09:00:00,17:00:00,60,attractions/laxminarayan_temple_orchha.jpg
Gwalior Fort,Gwalior,Heritage,An ancient fort complex described as the pearl in the necklace.,75.0,06:00:00,17:30:00,150,attractions/gwalior_fort.jpg
Jai Vilas Palace Museum,Gwalior,Heritage,The majestic Italianate palace of Scindias containing museums.,150.0,10:00:00,17:00:00,120,attractions/jai_vilas_palace_museum.jpg
Sas Bahu Temples,Gwalior,Spiritual,Two twin 11th-century temples displaying beautiful carvings.,0.0,08:00:00,18:00:00,60,attractions/sas_bahu_temples.jpg
Tomb of Tansen,Gwalior,Heritage,The final resting place of Akbar's legendary musician.,0.0,08:00:00,20:00:00,45,attractions/tomb_of_tansen.jpg
Sun Temple Gwalior,Gwalior,Spiritual,A red sandstone temple built replicating Konark design.,0.0,06:00:00,20:00:00,60,attractions/sun_temple_gwalior.jpg
Gateway of India,Mumbai,Heritage,An iconic arch monument built during the British Raj.,0.0,00:00:00,23:59:59,45,attractions/gateway_of_india.jpg
Marine Drive,Mumbai,City,A scenic 3km promenade overlooking the Arabian Sea.,0.0,00:00:00,23:59:59,90,attractions/marine_drive.jpg
Chhatrapati Shivaji Maharaj Terminus,Mumbai,Heritage,A UNESCO-listed Victorian Gothic railway terminal.,0.0,00:00:00,23:59:59,45,attractions/chhatrapati_shivaji_maharaj_terminus.jpg
Elephanta Caves,Mumbai,Spiritual,A network of cave temples carved on Elephanta Island.,250.0,09:00:00,17:00:00,240,attractions/elephanta_caves.jpg
Siddhivinayak Temple,Mumbai,Spiritual,A highly revered temple dedicated to Lord Ganesha.,0.0,05:30:00,22:00:00,90,attractions/siddhivinayak_temple.jpg
Haji Ali Dargah,Mumbai,Spiritual,A mosque and tomb located on an islet off the coast.,0.0,06:00:00,22:00:00,90,attractions/haji_ali_dargah.jpg
Shaniwar Wada,Pune,Heritage,A historic fortification seat of Peshwas of Maratha Empire.,25.0,08:00:00,18:30:00,90,attractions/shaniwar_wada.jpg
Aga Khan Palace,Pune,Heritage,A majestic palace which served as a prison for Mahatma Gandhi.,50.0,09:00:00,17:30:00,90,attractions/aga_khan_palace.jpg
Dagadusheth Halwai Ganapathi Temple,Pune,Spiritual,A famous temple housing a massive golden Ganesha idol.,0.0,06:00:00,23:00:00,60,attractions/dagadusheth_halwai_ganapathi_temple.jpg
Sinhagad Fort,Pune,Adventure,A hillside fortress offering trekking and panoramic views.,50.0,06:00:00,18:00:00,180,attractions/sinhagad_fort.jpg
Osho Ashram,Pune,Spiritual,A tranquil meditation resort campus in Koregaon Park.,970.0,09:00:00,18:00:00,120,attractions/osho_ashram.jpg
Venna Lake,Mahabaleshwar,Nature,A scenic lake offering boating and horse riding on banks.,150.0,08:00:00,20:00:00,90,attractions/venna_lake.jpg
Arthur's Seat Mahabaleshwar,Mahabaleshwar,Nature,A popular viewpoint overlooking the deep Savitri valley.,0.0,09:00:00,18:00:00,60,attractions/arthur's_seat_mahabaleshwar.jpg
Mapro Garden,Mahabaleshwar,Nature,A strawberry processing park offering cafes and retail shops.,0.0,08:00:00,23:00:00,90,attractions/mapro_garden.jpg
Pratapgad Fort,Mahabaleshwar,Heritage,A historic hill fort built by Chhatrapati Shivaji Maharaj.,0.0,08:00:00,18:00:00,120,attractions/pratapgad_fort.jpg
Mahabaleshwar Mandir,Mahabaleshwar,Spiritual,An old temple containing natural water springs.,0.0,06:00:00,21:00:00,45,attractions/mahabaleshwar_mandir.jpg
Karla Caves,Lonavala,Spiritual,Ancient Buddhist rock-cut caves dating back to 2nd century BC.,25.0,09:00:00,18:00:00,90,attractions/karla_caves.jpg
Bhushi Dam,Lonavala,Nature,A popular masonry dam where people enjoy water cascading over steps.,0.0,09:00:00,17:00:00,120,attractions/bhushi_dam.jpg
Lohagad Fort,Lonavala,Adventure,A grand hill fort built on a long mountain spur.,0.0,09:00:00,18:00:00,150,attractions/lohagad_fort.jpg
Tiger's Point Lonavala,Lonavala,Nature,A cliff viewpoint offering views of waterfalls and clouds.,0.0,06:00:00,19:00:00,60,attractions/tiger's_point_lonavala.jpg
Lonavala Wax Museum,Lonavala,City,An entertainment wax museum featuring life-like statues.,200.0,09:00:00,21:30:00,90,attractions/lonavala_wax_museum.jpg
Calangute Beach,North Goa,Beach,"The Queen of Beaches, famous for seafood and water sports.",0.0,06:00:00,23:00:00,120,attractions/calangute_beach.jpg
Baga Beach,North Goa,Beach,"A happening beach known for nightlife, shacks, and water sports.",0.0,06:00:00,23:59:59,120,attractions/baga_beach.jpg
Aguada Fort,North Goa,Heritage,A 17th-century Portuguese fortress and lighthouse.,25.0,09:00:00,18:00:00,90,attractions/aguada_fort.jpg
Anjuna Flea Market,North Goa,City,"A bustling Wednesday market offering clothing, jewelry, and spices.",0.0,09:00:00,18:00:00,150,attractions/anjuna_flea_market.jpg
Basilica of Bom Jesus,North Goa,Spiritual,UNESCO world heritage site containing mortal remains of St. Francis Xavier.,0.0,09:00:00,18:30:00,90,attractions/basilica_of_bom_jesus.jpg
Chapora Fort,North Goa,Heritage,Hilltop fort famous for Dil Chahta Hai movie views.,0.0,09:00:00,17:30:00,60,attractions/chapora_fort.jpg
Colva Beach,South Goa,Beach,A quiet white-sand beach lined with palms and shacks.,0.0,06:00:00,23:00:00,90,attractions/colva_beach.jpg
Palolem Beach,South Goa,Beach,A beautiful crescent-shaped beach offering dolphin cruises.,0.0,06:00:00,22:00:00,120,attractions/palolem_beach.jpg
Cabo de Rama Fort,South Goa,Heritage,A historic fort overlooking the blue ocean waters.,0.0,09:00:00,17:30:00,90,attractions/cabo_de_rama_fort.jpg
