destination_name,city,state,region,category,description,best_season,ideal_days,budget_level,average_cost_per_day,family_friendly,couple_friendly,solo_friendly,average_rating,image
Kodaikanal,Kodaikanal,Tamil Nadu,South,Hill Station,"The Princess of Hill Stations, featuring high forests, waterfalls, and Kodai Lake.",Summer,2,Moderate,2600.0,True,True,True,4.6,destinations/kodaikanal.jpg
Chennai,Chennai,Tamil Nadu,South,City,"The gateway to South India, blending rich temples, beaches, and automotive industries.",Winter,2,Moderate,2400.0,True,True,True,4.5,destinations/chennai.jpg
Mahabalipuram,Mahabalipuram,Tamil Nadu,South,Heritage,Famous for its rock-cut cave temples and monolithic structures from the Pallava dynasty.,Winter,2,Moderate,2200.0,True,True,True,4.7,destinations/mahabalipuram.jpg
Madurai,Madurai,Tamil Nadu,South,Spiritual,"One of the oldest continuously inhabited cities in India, centered around Meenakshi Temple.",Winter,2,Budget,1600.0,True,True,True,4.8,destinations/madurai.jpg
Rameswaram,Rameswaram,Tamil Nadu,South,Spiritual,"A holy island city, containing one of the Char Dham pilgrimage sites, linked by Pamban Bridge.",Winter,2,Budget,1500.0,True,True,True,4.8,destinations/rameswaram.jpg
Kanyakumari,Kanyakumari,Tamil Nadu,South,Nature,"The southernmost tip of mainland India, famous for sunrise/sunset over three oceans.",Winter,2,Budget,1800.0,True,True,True,4.7,destinations/kanyakumari.jpg
Munnar,Munnar,Kerala,South,Hill Station,"A scenic hill station famous for rolling hills, tea museums, and rare Nilgiri tahr wildlife.",Autumn,3,Moderate,3000.0,True,True,True,4.8,destinations/munnar.jpg
Alleppey,Alappuzha,Kerala,South,Nature,"The Venice of the East, famous for houseboat cruises in the peaceful palm-fringed backwaters.",Winter,2,Moderate,3200.0,True,True,True,4.8,destinations/alleppey.jpg
Wayanad,Kalpetta,Kerala,South,Nature,"A green mountainous district offering ancient caves, spice plantations, and waterfalls.",Autumn,3,Moderate,2500.0,True,True,True,4.6,destinations/wayanad.jpg
Kovalam,Kovalam,Kerala,South,Beach,Famous for its three crescent beaches and a historic red-striped lighthouse.,Winter,2,Luxury,4000.0,True,True,True,4.7,destinations/kovalam.jpg
Thekkady,Kumily,Kerala,South,Wildlife,"Home to the Periyar National Park, offering boat safaris, elephants, and spices.",Winter,2,Moderate,3000.0,True,True,True,4.7,destinations/thekkady.jpg
Kochi,Kochi,Kerala,South,Heritage,"The Queen of the Arabian Sea, blending Chinese, Portuguese, Dutch, and British history.",Winter,2,Moderate,2600.0,True,True,True,4.8,destinations/kochi.jpg
Varkala,Varkala,Kerala,South,Beach,"Famous for its unique red cliffs adjacent to the Arabian Sea, offering cafes and beaches.",Winter,2,Budget,1800.0,True,True,True,4.7,destinations/varkala.jpg
Kumarakom,Kumarakom,Kerala,South,Nature,"A quiet backwater town on Vembanad Lake, famous for luxury resorts and bird sanctuaries.",Winter,2,Luxury,5000.0,True,True,True,4.8,destinations/kumarakom.jpg
Darjeeling,Darjeeling,West Bengal,East,Hill Station,"Famous for tea estates, views of Kanchenjunga, and the UNESCO Toy Train.",Spring,3,Moderate,3000.0,True,True,True,4.8,destinations/darjeeling.jpg
Kalimpong,Kalimpong,West Bengal,East,Hill Station,"A quiet hill station known for nurseries, colonial buildings, and views of Teesta valley.",Spring,2,Budget,1800.0,True,True,True,4.5,destinations/kalimpong.jpg
Gangtok,Gangtok,Sikkim,East,Hill Station,"The capital of Sikkim, showcasing modern streets, monasteries, and cable cars.",Spring,3,Moderate,3200.0,True,True,True,4.8,destinations/gangtok.jpg
Pelling,Pelling,Sikkim,East,Hill Station,"Renowned for scenic monasteries, waterfalls, and India's first glass skywalk.",Spring,2,Moderate,2500.0,True,True,True,4.6,destinations/pelling.jpg
Shillong,Shillong,Meghalaya,Northeast,Hill Station,"The Scotland of the East, showcasing pine trees, waterfalls, and rock music culture.",Spring,3,Moderate,2800.0,True,True,True,4.7,destinations/shillong.jpg
Cherrapunji,Sohra,Meghalaya,Northeast,Nature,Renowned for double decker living root bridges and being one of the wettest spots on earth.,Monsoon,2,Moderate,3000.0,True,True,True,4.8,destinations/cherrapunji.jpg
Kaziranga,Kohora,Assam,Northeast,Wildlife,"A UNESCO site, hosting two-thirds of the world's great one-horned rhinoceroses.",Winter,2,Luxury,4500.0,True,True,True,4.9,destinations/kaziranga.jpg
Majuli,Majuli,Assam,Northeast,Nature,"The largest river island in the world, situated on the Brahmaputra River, famous for Satras.",Winter,2,Budget,1500.0,True,True,True,4.6,destinations/majuli.jpg
Tawang,Tawang,Arunachal Pradesh,Northeast,Hill Station,A mountain town known for Tawang Monastery and gorgeous high passes.,Spring,4,Moderate,3000.0,True,True,True,4.8,destinations/tawang.jpg
Ziro,Ziro,Arunachal Pradesh,Northeast,Nature,A scenic valley famous for Apatani culture and pine tree hills.,Autumn,2,Budget,1600.0,True,True,True,4.5,destinations/ziro.jpg
Puri,Puri,Odisha,East,Spiritual,"A holy coastal city, famous for the Jagannath Temple and Puri golden beach.",Winter,2,Budget,1800.0,True,True,True,4.7,destinations/puri.jpg
Konark,Konark,Odisha,East,Heritage,"Famous for the 13th-century Konark Sun Temple, a UNESCO world heritage site.",Winter,2,Moderate,2200.0,True,True,True,4.8,destinations/konark.jpg
Bhubaneswar,Bhubaneswar,Odisha,East,Heritage,"The Temple City of India, showing historical sandstone temples and caves.",Winter,2,Moderate,2000.0,True,True,True,4.6,destinations/bhubaneswar.jpg
Kolkata,Kolkata,West Bengal,East,City,"The City of Joy, famous for colonial architecture, trams, arts, and Durga Puja.",Autumn,3,Moderate,2600.0,True,True,True,4.8,destinations/kolkata.jpg
Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,Beach,"A port city famous for golden beaches, hills, and a unique submarine museum.",Winter,2,Moderate,2500.0,True,True,True,4.6,destinations/visakhapatnam.jpg
Tirupati,Tirupati,Andhra Pradesh,South,Spiritual,"Home to the Tirumala Venkateswara Temple, one of the most visited holy sites in the world.",Winter,2,Moderate,3000.0,True,True,True,4.9,destinations/tirupati.jpg
Araku Valley,Araku,Andhra Pradesh,South,Hill Station,"A quiet valley in the Eastern Ghats, famous for coffee gardens, tribes, and caves.",Winter,2,Budget,1800.0,True,True,True,4.5,destinations/araku_valley.jpg
Pondicherry,Puducherry,Puducherry,South,Beach,"A French colonial settlement in India, blending French architecture with spiritual ashrams.",Winter,2,Moderate,2800.0,True,True,True,4.7,destinations/pondicherry.jpg
Havelock Island,Havelock,Andaman & Nicobar,South,Beach,"Renowned for its crystal clear diving waters and Radhanagar Beach, one of Asia's best.",Winter,3,Luxury,6500.0,True,True,True,4.9,destinations/havelock_island.jpg
Port Blair,Port Blair,Andaman & Nicobar,South,Heritage,"The capital of Andaman islands, famous for the historical Cellular Jail and colonial ruins.",Winter,2,Moderate,3500.0,True,True,True,4.7,destinations/port_blair.jpg
Gir National Park,Sasan Gir,Gujarat,West,Wildlife,The only natural habitat of the Asiatic lions in the world.,Winter,2,Luxury,4800.0,True,True,True,4.8,destinations/gir_national_park.jpg
Rann of Kutch,Bhuj,Gujarat,West,Nature,"A massive white salt desert salt flat, hosting the colorful Rann Utsav festival.",Winter,2,Luxury,5500.0,True,True,True,4.9,destinations/rann_of_kutch.jpg
